Date,weekday,XBTUSD.Return,BXBT.Return,Trade.Volume,Trade.Volume change,BAspreadchange,Bid.Ask.Spread,XBTUSD.Percent.Change,No.of.Trade,Order.Imbalance,Trade.Imbalance.OIBUSD.,B.X.variation.abs.,B.X.variation..sign.,Volatility_XBTUSD,Volatility_BXBTUSD,ABS.XBTUSD.Return.,ABS.BXBTUSD.Return.,OIBNUM,OIBXBT,Funding.rate,Volatility_XBTrtn,Volatility_BXBTrtn,OIBNUM_NUMTRANS,Min_t1,Min_t2,Min_t3,Min_t4,Min_t5,Max_t1,Max_t2,Max_t3,Max_t4,Max_t5,OIBNUM_t1,OIBNUM_t2,OIBNUM_t3,OIBNUM_t4,OIBNUM_t5
2017-06-01,5,0.049231571,0.049521732,57279425,0,0,0.420813324,0.049231571,45572,-18783,0.000834553,1.870710489,-0.21630755,35.47094553,36.67779399,0.049231571,0.049521732,-0.00354,0.003493642,0.000788,0.008174603,0.008735508,-0.007767928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-02,6,0.033556769,0.029462717,41297438,-0.279017937,-0.159200948,0.353819444,0.033556769,29519,116353,0.001661448,3.193645602,-2.886037138,20.13952049,17.04755954,0.033556769,0.029462717,-0.03181,0.006585965,0.001271,0.006964365,0.006240319,-0.107761103,0,0,0,0,0,0.049231571,0,0,0,0,-0.00354,0,0,0,0
2017-06-03,7,0.018133782,0.024436393,54746338,0.325659427,0.047291296,0.370552024,0.018133782,41882,-52480,0.000279948,2.423349947,0.275798602,35.48706224,38.90365889,0.018133782,0.024436393,0.02928,0.000964604,0.006793,0.006184011,0.005747703,0.069910701,0,0,0,0,0,0.033556769,0.049231571,0,0,0,-0.03181,-0.00354,0,0,0
2017-06-04,1,-0.005582858,-0.006830005,43808075,-0.199798989,0.245460119,0.461507768,0.005582858,31045,-72265,-0.000770935,2.10221902,-1.784974755,16.0258667,15.46696249,0.005582858,0.006830005,-0.00877,-0.003166546,0.00072,0.006373862,0.005882709,-0.028249316,0,0,0,0,0,0.018133782,0.033556769,0.049231571,0,0,0.02928,-0.03181,-0.00354,0,0
2017-06-05,2,0.074512287,0.067917748,52810719,0.205501931,0.109340292,0.511969162,0.074512287,37262,-69555,0.003851759,4.432990317,-4.380644902,41.53320319,38.13770002,0.074512287,0.067917748,-0.05208,0.014611553,0.003846,0.004709658,0.003992516,-0.139767055,-0.005582858,0,0,0,0,0,0.018133782,0.033556769,0.049231571,0,-0.00877,0.02928,-0.03181,-0.00354,0
2017-06-06,3,0.067287861,0.065340004,147030693,1.784107011,0.823026468,0.933333333,0.067287861,80482,90531,0.001505989,9.017529712,-8.994082,51.7697696,51.98494047,0.067287861,0.065340004,-0.04214,0.004985362,0.01125,0.015635259,0.014732609,-0.052359534,0,-0.005582858,0,0,0,0.074512287,0,0.018133782,0.033556769,0.049231571,-0.05208,-0.00877,0.02928,-0.03181,-0.00354
2017-06-07,4,-0.081215127,-0.063789072,103352659,-0.297067457,-0.370386904,0.587638889,0.081215127,62801,-22500,-0.007902199,4.094566707,-3.095647616,59.24593498,54.71891478,0.081215127,0.063789072,-0.04729,-0.028964877,0.01125,0.010884979,0.010545282,-0.075301349,0,0,-0.005582858,0,0,0.067287861,0.074512287,0,0.018133782,0.033556769,-0.04214,-0.05208,-0.00877,0.02928,-0.03181
2017-06-08,5,0.053030869,0.042984977,68819033,-0.33413389,-0.332599509,0.392190483,0.053030869,50502,315514,0.002335661,3.525175292,-0.69685541,39.71023615,35.15515298,0.053030869,0.042984977,0.03768,0.008421295,0.002889,0.008127675,0.007445035,0.074610906,-0.081215127,0,0,-0.005582858,0,0,0.067287861,0.074512287,0,0.018133782,-0.04729,-0.04214,-0.05208,-0.00877,0.02928
2017-06-09,6,-0.000141965,0.005319832,46577238,-0.323192495,-0.287300684,0.279513889,0.000141965,45410,11064,0.0002339,2.618304254,-1.11313785,15.70088269,15.75676932,0.000141965,0.005319832,0.02012,0.000747247,0.006254,0.005651775,0.005166983,0.044307421,0,-0.081215127,0,0,-0.005582858,0.053030869,0,0.067287861,0.074512287,0,0.03768,-0.04729,-0.04214,-0.05208,-0.00877
2017-06-10,7,0.036979204,0.035700587,52286178,0.122569312,0.151493842,0.321858522,0.036979204,41576,-10892,0.003257888,3.813947034,-3.410957532,36.74225584,31.94501508,0.036979204,0.035700587,-0.01908,0.011242799,0.000853,0.007547767,0.008131269,-0.045891861,-0.000141965,0,-0.081215127,0,0,0,0.053030869,0,0.067287861,0.074512287,0.02012,0.03768,-0.04729,-0.04214,-0.05208
2017-06-11,1,0.02501968,0.02178003,48306924,-0.076105276,0.163166343,0.374375,0.02501968,44043,27151,0.001679022,5.698496543,-5.508651693,39.83726837,30.61458712,0.02501968,0.02178003,0.00899,0.005517384,0.009407,0.006388366,0.005582021,0.02041187,0,-0.000141965,0,-0.081215127,0,0.036979204,0,0.053030869,0,0.067287861,-0.01908,0.02012,0.03768,-0.04729,-0.04214
2017-06-12,2,-0.113406535,-0.106762032,187239903,2.8760469,1.538857921,0.950484934,0.113406535,108589,16988,-0.002873875,7.605669174,1.851498314,155.3512982,146.5303551,0.113406535,0.106762032,-0.01171,-0.009623122,0.009212,0.021280032,0.021058136,-0.010783781,0,0,-0.000141965,0,-0.081215127,0.02501968,0.036979204,0,0.053030869,0,0.00899,-0.01908,0.02012,0.03768,-0.04729
2017-06-13,3,0.017736773,0.019643362,63913652,-0.658653679,-0.56718,0.411388889,0.017736773,43277,199802,0.000862468,1.936193434,0.603284987,26.77214392,26.54817095,0.017736773,0.019643362,-0.00665,0.002906054,-0.003339,0.007821817,0.007365891,-0.01536613,-0.113406535,0,0,-0.000141965,0,0,0.02501968,0.036979204,0,0.053030869,-0.01171,0.00899,-0.01908,0.02012,0.03768
2017-06-14,4,-0.099792792,-0.095831762,139982991,1.19018921,0.662470388,0.683921846,0.099792792,85543,-96046,-0.005367449,3.537986727,2.534972843,115.9773219,117.5393106,0.099792792,0.095831762,0.01035,-0.021747285,-0.002191,0.014266893,0.015269085,0.012099178,0,-0.113406535,0,0,-0.000141965,0.017736773,0,0.02501968,0.036979204,0,-0.00665,-0.01171,0.00899,-0.01908,0.02012
2017-06-15,5,-0.009206362,-0.009895272,179250376,0.280515402,0.509370805,1.032291667,0.009206362,119130,79917,-0.001077176,8.744279325,3.966394616,80.50746812,91.53144321,0.009206362,0.009895272,0.00774,-0.005762852,-0.009292,0.029461607,0.028807043,0.006497104,-0.099792792,0,-0.113406535,0,0,0,0.017736773,0,0.02501968,0.036979204,0.01035,-0.00665,-0.01171,0.00899,-0.01908
2017-06-16,6,0.028297961,0.027836195,83294972,-0.535314938,-0.432626977,0.585694444,0.028297961,62094,-104858,-0.001059754,7.771637537,7.730571103,47.86290208,48.78842407,0.028297961,0.027836195,0.05388,-0.004606303,-0.005919,0.014110603,0.012469144,0.086771669,-0.009206362,-0.099792792,0,-0.113406535,0,0,0,0.017736773,0,0.02501968,0.00774,0.01035,-0.00665,-0.01171,0.00899
2017-06-17,7,0.066041565,0.062874964,67003395,-0.195588961,-0.445183538,0.324952919,0.066041565,49239,41525,0.003209049,2.972095786,1.05996642,76.10777361,71.53201622,0.066041565,0.062874964,-0.06883,0.01272152,-0.009925,0.009159622,0.008348467,-0.139787567,0,-0.009206362,-0.099792792,0,-0.113406535,0.028297961,0,0,0.017736773,0,0.05388,0.00774,0.01035,-0.00665,-0.01171
2017-06-18,1,-0.040908573,-0.04606751,76508816,0.141864767,0.207189944,0.392279896,0.040908573,57890,-15628,0.00141855,2.021296049,1.117359236,56.30546051,56.14480124,0.040908573,0.04606751,0.00522,0.005667947,-0.00049,0.01246755,0.011389272,0.009017101,0,0,-0.009206362,-0.099792792,0,0.066041565,0.028297961,0,0,0.017736773,-0.06883,0.05388,0.00774,0.01035,-0.00665
2017-06-19,2,0.030206929,0.028933924,42089739,-0.449870731,-0.179197134,0.321984463,0.030206929,32266,24897,0.002423927,1.657729795,-0.107608531,23.72551502,23.17098679,0.030206929,0.028933924,0.01214,0.009312753,-0.000181,0.008255102,0.007389111,0.037624744,-0.040908573,0,0,-0.009206362,-0.099792792,0,0.066041565,0.028297961,0,0,0.00522,-0.06883,0.05388,0.00774,0.01035
2017-06-20,3,0.052493943,0.052219351,62478121,0.484402671,0.190749313,0.383402778,0.052493943,39085,-36558,0.002290005,2.426484665,-1.776388247,58.78674378,56.50591642,0.052493943,0.052219351,-0.00987,0.008448878,0.000868,0.007297076,0.006531621,-0.025252654,0,-0.040908573,0,0,-0.009206362,0.030206929,0,0.066041565,0.028297961,0,0.01214,0.00522,-0.06883,0.05388,0.00774
2017-06-21,4,-0.029061894,-0.028646482,85189260,0.363505474,0.048179677,0.401875,0.029061894,58035,9779,-0.003922786,3.553732005,-1.811840806,37.82240057,38.86254669,0.029061894,0.028646482,0.02159,-0.014776351,0.003918,0.01021609,0.011094844,0.037201689,0,0,-0.040908573,0,0,0.052493943,0.030206929,0,0.066041565,0.028297961,-0.00987,0.01214,0.00522,-0.06883,0.05388
